season,plateNumber,qpcrDate,well,sample,assay,role,cq,copies
summer,two,2017-11-11,E3,0h-T14,crab-hex,Unknown,30.0783604916,47.5477967788
summer,two,2017-11-11,E3,0h-T14,shanny-fam,Unknown,27.0007662287,340.9421374774
summer,two,2017-11-11,E4,0h-T16,crab-hex,Unknown,29.4586461554,73.5612440547
summer,two,2017-11-11,E4,0h-T16,shanny-fam,Unknown,25.3435382624,1120.5070156076
summer,two,2017-11-11,E5,,crab-hex,Standard,19.1516621387,100000
summer,two,2017-11-11,E5,,shanny-fam,Standard,19.0794118716,100000
summer,two,2017-11-11,E6,,crab-hex,Standard,25.5990113283,1000
summer,two,2017-11-11,E6,,shanny-fam,Standard,25.4851157876,1000
summer,two,2017-11-11,E7,,crab-hex,Standard,32.2914874815,10
summer,two,2017-11-11,E7,,shanny-fam,Standard,31.9589284288,10
summer,two,2017-11-11,E8,,crab-hex,NTC,,
summer,two,2017-11-11,E8,,shanny-fam,NTC,,
summer,two,2017-11-11,F1,0h-T10,crab-hex,Unknown,29.2888137056,82.9061170912
summer,two,2017-11-11,F1,0h-T10,shanny-fam,Unknown,25.8242105886,793.4836534428
summer,two,2017-11-11,F2,0h-T12,crab-hex,Unknown,28.2663894601,170.3179600323
summer,two,2017-11-11,F2,0h-T12,shanny-fam,Unknown,25.2992595681,1156.7005710731
summer,two,2017-11-11,F3,0h-T14,crab-hex,Unknown,30.6927616081,30.8486809512
summer,two,2017-11-11,F3,0h-T14,shanny-fam,Unknown,26.4665775028,500.3155703397
summer,two,2017-11-11,F4,0h-T16,crab-hex,Unknown,28.8627907709,111.9106142518
summer,two,2017-11-11,F4,0h-T16,shanny-fam,Unknown,25.2400026599,1206.9731789074
summer,two,2017-11-11,F5,,crab-hex,Standard,19.3670765073,100000
summer,two,2017-11-11,F5,,shanny-fam,Standard,19.1703612497,100000
summer,two,2017-11-11,F6,,crab-hex,Standard,25.4928767256,1000
summer,two,2017-11-11,F6,,shanny-fam,Standard,25.3544543689,1000
summer,two,2017-11-11,F7,,crab-hex,Standard,33.3147263751,10
summer,two,2017-11-11,F7,,shanny-fam,Standard,32.4140201968,10
summer,two,2017-11-11,F8,,crab-hex,NTC,,
summer,two,2017-11-11,F8,,shanny-fam,NTC,,
summer,four,2017-11-13,A1,12h-T1,crab-hex,Unknown,31.3393513651,11.7562167821
summer,four,2017-11-13,A1,12h-T1,shanny-fam,Unknown,28.1748400621,163.9970584157
summer,four,2017-11-13,A2,12h-T3,crab-hex,Unknown,29.2737973917,52.5082438364
summer,four,2017-11-13,A2,12h-T3,shanny-fam,Unknown,27.459806985,270.3270688801
summer,four,2017-11-13,A3,12h-T5,crab-hex,Unknown,,
summer,four,2017-11-13,A3,12h-T5,shanny-fam,Unknown,,
summer,four,2017-11-13,A4,12h-T7,crab-hex,Unknown,29.8578853896,34.3902057622
summer,four,2017-11-13,A4,12h-T7,shanny-fam,Unknown,27.246815694,313.7217195603
summer,four,2017-11-13,A5,,crab-hex,Standard,15.7533230736,1000000
summer,four,2017-11-13,A5,,shanny-fam,Standard,15.5756247475,1000000
summer,four,2017-11-13,A6,,crab-hex,Standard,22.1480379288,10000
summer,four,2017-11-13,A6,,shanny-fam,Standard,22.249014008,10000
summer,four,2017-11-13,A7,,crab-hex,Standard,28.3141232142,100
summer,four,2017-11-13,A7,,shanny-fam,Standard,28.8769246189,100
summer,four,2017-11-13,A8,,crab-hex,Standard,35.1482685961,1
summer,four,2017-11-13,A8,,shanny-fam,Standard,,1
summer,four,2017-11-13,B1,12h-T1,crab-hex,Unknown,30.2346741312,26.1741214496
summer,four,2017-11-13,B1,12h-T1,shanny-fam,Unknown,28.2264120428,158.1907224419
summer,four,2017-11-13,B2,12h-T3,crab-hex,Unknown,29.5114792694,44.2015046191
summer,four,2017-11-13,B2,12h-T3,shanny-fam,Unknown,27.4900777444,264.6675071268
summer,four,2017-11-13,B3,12h-T5,crab-hex,Unknown,,
summer,four,2017-11-13,B3,12h-T5,shanny-fam,Unknown,,
summer,four,2017-11-13,B4,12h-T7,crab-hex,Unknown,29.4582256912,45.9403343024
summer,four,2017-11-13,B4,12h-T7,shanny-fam,Unknown,27.6313116288,239.7883375575
